Container,fk_SpecimenID,Institution,pk_SpareSampleLocation,ref_SpecimenID
box 4,1277,Uvic,205,PSEDIS014
box 4,1278,Uvic,206,PSEDIS015
box 4,1280,Uvic,207,PSEDIS017
box 4,1281,Uvic,208,PSEDIS018
box 4,1282,Uvic,209,PSEDIS019
box 4,1283,Uvic,210,PSEDIS020
box 4,1284,Uvic,211,PSEDIS021
box 4,1285,Uvic,212,PSEDIS022
box 4,1287,Uvic,213,PSEDIS024
box 4,1288,Uvic,214,PSEDIS025
box 4,1289,Uvic,215,PSEDIS026
box 4,1293,Uvic,216,PSEDIS027
box 4,1294,Uvic,217,PSEDIS028
box 4,1295,Uvic,218,PSEDIS029
box 4,1297,Uvic,219,PSEDIS030
box 5,1144,Uvic,220,PARINS001
box 5,1145,Uvic,221,PARINS002
box 5,1148,Uvic,222,PARINS003
box 5,1149,Uvic,223,PARINS004
box 5,1150,Uvic,224,PARINS005
box 5,1151,Uvic,225,PARINS006
box 5,1152,Uvic,226,PARINS007
box 5,1171,Uvic,227,PARINS008
box 5,1172,Uvic,228,PARINS009
box 5,1173,Uvic,229,PARINS010
box 5,1174,Uvic,230,PARINS011
box 5,1175,Uvic,231,PARINS012
box 5,1176,Uvic,232,PARINS013
box 5,1177,Uvic,233,PARINS014
box 5,1178,Uvic,234,PARINS015
ziplock 5,1179,Uvic,235,PARINS016
ziplock 5,1180,Uvic,236,PARINS017
ziplock 5,1181,Uvic,237,PARINS018
ziplock 5,1182,Uvic,238,PARINS019
ziplock 5,1183,Uvic,239,PARINS020
ziplock 5,1184,Uvic,240,PARINS021
ziplock 5,1185,Uvic,241,PARINS022
ziplock 5,1186,Uvic,242,PARINS023
box 5,1189,Uvic,243,PARINS024
box 5,1196,Uvic,244,PARINS025
box 5,1197,Uvic,245,PARINS026
box 5,1198,Uvic,246,PARINS027
box 5,1199,Uvic,247,PARINS028
box 5,1200,Uvic,248,PARINS029
box 5,1201,Uvic,249,PARINS030
box 5,1202,Uvic,250,PARINS031
box 5,1203,Uvic,251,PARINS032
box 5,1204,Uvic,252,PARINS033
box 5,1205,Uvic,253,PARINS034
box 5,1206,Uvic,254,PARINS035
box 5,1209,Uvic,255,PARINS036
box 5,1210,Uvic,256,PARINS037
box 5,1211,Uvic,257,PARINS038
box 4,1224,Uvic,258,PSEOLI001
box 4,1225,Uvic,259,PSEOLI002
box 4,1228,Uvic,260,PSEOLI003
no spares,1229,Uvic,261,PSEOLI004
box 4,1231,Uvic,262,PSEOLI005
box 4,1234,Uvic,263,PSEOLI006
box 4,1237,Uvic,264,PSEOLI007
box 4,1238,Uvic,265,PSEOLI008
box 4,1239,Uvic,266,PSEOLI009
box 4,1242,Uvic,267,PSEOLI010
box 4,1244,Uvic,268,PSEOLI011
box 4,1245,Uvic,269,PSEOLI012
box 4,1253,Uvic,270,PSEOLI013
box 4,1254,Uvic,271,PSEOLI014
box 4,1255,Uvic,272,PSEOLI015
box 4,1257,Uvic,273,PSEOLI017
no spares,1258,Uvic,274,PSEOLI018
box 4,1260,Uvic,275,PSEOLI020
box 4,1263,Uvic,276,PSEOLI023
box 4,1264,Uvic,277,PSEOLI024
box 4,1265,Uvic,278,PSEOLI025
box 4,1271,Uvic,279,PSEOLI026
box 4,1273,Uvic,280,PSEOLI027
box 4,1276,Uvic,281,PSEOLI029
box 4,1290,Uvic,282,PSEOLI030
box 4,1291,Uvic,283,PSEOLI031
box 4,1292,Uvic,284,PSEOLI032
box 4,1296,Uvic,285,PSEOLI033
box 4,1299,Uvic,286,PSEOLI034
box 12,6,Uvic,287,ACANIG005
box 12,7,Uvic,288,ACANIG006
box 12,8,Uvic,289,ACANIG007
box 12,9,Uvic,290,ACANIG008
box 12,10,Uvic,291,ACANIG009
box 12,11,Uvic,292,ACANIG010
box 12,12,Uvic,293,ACANIG011
box 12,13,Uvic,294,ACANIG012
box 12,14,Uvic,295,ACANIG013
box 12,15,Uvic,296,ACANIG014
ziplock 1,1053,Uvic,297,CEPURO001
ziplock 1,1054,Uvic,298,CEPURO002
ziplock 1,1062,Uvic,299,CEPURO005
ziplock 1,1063,Uvic,300,CEPURO006
ziplock 1,1065,Uvic,301,CEPURO007
ziplock 1,1066,Uvic,302,CEPURO008
ziplock 1,1067,Uvic,303,CEPURO009
ziplock 1,1068,Uvic,304,CEPURO010
ziplock 1,1071,Uvic,305,CEPURO011
ziplock 1,1072,Uvic,306,CEPURO012
ziplock 1,1073,Uvic,307,CEPURO013
no location described,1074,Uvic,308,CEPURO014
no location described,1075,Uvic,309,CEPURO015
no location described,1076,Uvic,310,CEPURO016
no location described,1077,Uvic,311,CEPURO017
no location described,1078,Uvic,312,CEPURO018
no location described,1079,Uvic,313,CEPURO019
no location described,1080,Uvic,314,CEPURO020
no location described,1081,Uvic,315,CEPURO021
no location described,1082,Uvic,316,CEPURO022
no location described,1083,Uvic,317,CEPURO023
no location described,1084,Uvic,318,CEPURO024
no location described,1085,Uvic,319,CEPURO025
no location described,1086,Uvic,320,CEPURO026
no location described,1087,Uvic,321,CEPURO027
no location described,1088,Uvic,322,CEPURO028
no location described,1089,Uvic,323,CEPURO029
no location described,1090,Uvic,324,CEPURO030
no location described,1091,Uvic,325,CEPURO031
no location described,1092,Uvic,326,CEPURO032
no location described,1093,Uvic,327,CEPURO033
no location described,1094,Uvic,328,CEPURO034
no location described,1095,Uvic,329,CEPURO035
no location described,1096,Uvic,330,CEPURO036
ziplock 1,1097,Uvic,331,CEPURO037
ziplock 1,1098,Uvic,332,CEPURO038
ziplock 1,1099,Uvic,333,CEPURO039
ziplock 1,1100,Uvic,334,CEPURO040
ziplock 1,1101,Uvic,335,CEPURO041
box 8,1106,Uvic,336,CEPURO042
box 8,1107,Uvic,337,CEPURO043
box 8,1108,Uvic,338,CEPURO044
box 8,1109,Uvic,339,CEPURO045
box 8,1110,Uvic,340,CEPURO046
box 8,1111,Uvic,341,CEPURO047
box 8,1112,Uvic,342,CEPURO048
box 8,1113,Uvic,343,CEPURO049
box 8,1114,Uvic,344,CEPURO050
ziplock 1,1115,Uvic,345,CEPURO051
ziplock 1,1116,Uvic,346,CEPURO052
ziplock 1,1117,Uvic,347,CEPURO053
ziplock 1,1118,Uvic,348,CEPURO054
ziplock 1,1119,Uvic,349,CEPURO055
ziplock 1,1120,Uvic,350,CEPURO056
ziplock 1,1121,Uvic,351,CEPURO057
ziplock 1,1122,Uvic,352,CEPURO058
ziplock 1,1123,Uvic,353,CEPURO059
ziplock 1,1124,Uvic,354,CEPURO060
ziplock 1,1125,Uvic,355,CEPURO061
ziplock 1,1126,Uvic,356,CEPURO062
ziplock 1,1127,Uvic,357,CEPURO063
ziplock 3,1129,Uvic,358,EPIHEX001
box 7,1146,Uvic,359,EPIHEX002
ziplock 3,1153,Uvic,360,EPIHEX003
ziplock 3,1155,Uvic,361,EPIHEX004
ziplock 3,1157,Uvic,362,EPIHEX005
ziplock 3,1158,Uvic,363,EPIHEX006
ziplock 3,1160,Uvic,364,EPIHEX007
ziplock 3,1162,Uvic,365,EPIHEX008
ziplock 3,1163,Uvic,366,EPIHEX009
ziplock 3,1165,Uvic,367,EPIHEX010
ziplock 3,1166,Uvic,368,EPIHEX011
ziplock 3,1168,Uvic,369,EPISPI001
ziplock 3,1169,Uvic,370,EPISPI002
ziplock 3,1208,Uvic,371,EPISPI003
ziplock 3,1215,Uvic,372,EPISPI004
ziplock 3,1216,Uvic,373,EPISPI005
ziplock 3,1217,Uvic,374,EPISPI006
ziplock 3,1218,Uvic,375,EPISPI007
ziplock 3,1128,Uvic,376,EPITAU001
ziplock 3,1130,Uvic,377,EPITAU002
ziplock 3,,Uvic,378,EPITAU003*
ziplock 3,,Uvic,379,EPITAU004*
ziplock 3,1159,Uvic,380,EPITAU005
ziplock 3,1161,Uvic,381,EPITAU006
ziplock 3,1164,Uvic,382,EPITAU007
box 6,,Uvic,383,LUTFUL083A
box 6,,Uvic,384,LUTFUL084A
box 6,,Uvic,385,LUTFUL085A
box 6,455,Uvic,386,LUTFUL086
box 6,456,Uvic,387,LUTFUL087
box 6,457,Uvic,388,LUTFUL088
box 6,458,Uvic,389,LUTFUL089
box 6,459,Uvic,390,LUTFUL090
box 6,460,Uvic,391,LUTFUL091
box 6,461,Uvic,392,LUTFUL092
box 6,462,Uvic,393,LUTFUL093
box 6,463,Uvic,394,LUTFUL094
box 6,464,Uvic,395,LUTFUL095
box 6,465,Uvic,396,LUTFUL096
box 6,466,Uvic,397,LUTFUL097
box 6,467,Uvic,398,LUTFUL098
box 6,468,Uvic,399,LUTFUL099
box 6,469,Uvic,400,LUTFUL100
box 8,470,Uvic,401,LUTFUL101
box 8,471,Uvic,402,LUTFUL102
box 8,472,Uvic,403,LUTFUL103
box 8,473,Uvic,404,LUTFUL104
box 8,474,Uvic,405,LUTFUL105
no spares,1,Uvic,406,ACANIG000
no spares,2,Uvic,407,ACANIG001
no spares,3,Uvic,408,ACANIG002
no spares,4,Uvic,409,ACANIG003
no spares,5,Uvic,410,ACANIG004
box 5,1268,Uvic,411,PARINS041
box 4,,Uvic,412,TANG
box 4,,Uvic,413,GREYREEF
ziplock 4,1154,Uvic,414,CEPMIN001
box 4,1233,Uvic,415,CHRVAN001
box 4,,Uvic,416,HAWK
ziplock 3,1222,Uvic,417,EPIMEL001
box 4,1223,Uvic,418,LABDIM001
ziplock 4,1220,Uvic,419,LETXAN001
box 7,1135,Uvic,420,LUTKAS003
box 7,1136,Uvic,421,LUTKAS004
box 7,1137,Uvic,422,LUTKAS005
box 7,1138,Uvic,423,LUTKAS006
box 7,,Uvic,424,LUTKAS007
ziplock 4,,Uvic,425,LUTKAS007
box 7,,Uvic,426,LUTKAS008
box 7,,Uvic,427,LUTMON
ziplock 4,,Uvic,428,MONGRA001
box 4,1269,Uvic,429,PARFOR001
no location described,1069,Uvic,430,PARHEM001
ziplock 4,,Uvic,431,PRIAHAM001
box 7,,Uvic,432,PTTIL001
box 7,,Uvic,433,PTTIL002
box 2,285,Uvic,434,CEPARG097
box 2,286,Uvic,435,CEPARG098
box 2,287,Uvic,436,CEPARG099
box 2,288,Uvic,437,CEPARG100
ziplock 4,,Uvic,438,CEPARG001RT
ziplock 4,,Uvic,439,CEPARG002RT
ziplock 4,,Uvic,440,CEPARG003RT
box 2,289,Uvic,441,CEPARG101
box 2,290,Uvic,442,CEPARG102
box 2,291,Uvic,443,CEPARG103
box 2,292,Uvic,444,CEPARG104
box 2,293,Uvic,445,CEPARG105
box 2,294,Uvic,446,CEPARG106
box 2,295,Uvic,447,CEPARG107
box 2,296,Uvic,448,CEPARG108
box 2,297,Uvic,449,CEPARG109
box 2,298,Uvic,450,CEPARG110
box 2,299,Uvic,451,CEPARG111
box 2,300,Uvic,452,CEPARG112
box 2,301,Uvic,453,CEPARG113
box 2,302,Uvic,454,CEPARG114
box 2,303,Uvic,455,CEPARG115
box 2,304,Uvic,456,CEPARG116
box 2,305,Uvic,457,CEPARG117
box 2,306,Uvic,458,CEPARG118
box 2,307,Uvic,459,CEPARG119
box 2,308,Uvic,460,CEPARG120
box 2,309,Uvic,461,CEPARG121
box 2,310,Uvic,462,CEPARG122
box 2,311,Uvic,463,CEPARG123
box 2,312,Uvic,464,CEPARG124
box 2,313,Uvic,465,CEPARG125
box 2,314,Uvic,466,CEPARG126
box 2,315,Uvic,467,CEPARG127
box 3,316,Uvic,468,CEPARG128
box 3,317,Uvic,469,CEPARG129
box 3,318,Uvic,470,CEPARG130
box 3,319,Uvic,471,CEPARG131
box 3,320,Uvic,472,CEPARG132
box 3,321,Uvic,473,CEPARG133
box 3,322,Uvic,474,CEPARG134
box 3,323,Uvic,475,CEPARG135
box 3,324,Uvic,476,CEPARG136
box 3,325,Uvic,477,CEPARG137
box 3,326,Uvic,478,CEPARG138
box 3,327,Uvic,479,CEPARG139
box 3,328,Uvic,480,CEPARG140
box 3,329,Uvic,481,CEPARG141
box 3,330,Uvic,482,CEPARG142
box 3,331,Uvic,483,CEPARG143
box 3,332,Uvic,484,CEPARG144
box 3,333,Uvic,485,CEPARG145
box 3,334,Uvic,486,CEPARG146
box 3,335,Uvic,487,CEPARG147
box 3,336,Uvic,488,CEPARG148
box 3,337,Uvic,489,CEPARG149
box 3,338,Uvic,490,CEPARG150
box 3,339,Uvic,491,CEPARG151
box 3,340,Uvic,492,CEPARG152
box 3,341,Uvic,493,CEPARG153
box 3,342,Uvic,494,CEPARG154
box 3,343,Uvic,495,CEPARG155
box 3,344,Uvic,496,CEPARG156
box 3,345,Uvic,497,CEPARG157
box 3,346,Uvic,498,CEPARG158
box 3,347,Uvic,499,CEPARG159
box 3,348,Uvic,500,CEPARG160
box 3,349,Uvic,501,CEPARG161
box 3,350,Uvic,502,CEPARG162
box 3,351,Uvic,503,CEPARG163
box 3,352,Uvic,504,CEPARG164
box 3,353,Uvic,505,CEPARG165
box 3,354,Uvic,506,CEPARG166
box 3,355,Uvic,507,CEPARG167
box 3,356,Uvic,508,CEPARG168
box 4,1249,Uvic,509,PSECOO000
box 4,1250,Uvic,510,PSECOO001
box 4,1251,Uvic,511,PSECOO002
box 4,1252,Uvic,512,PSECOO003
box 4,1270,Uvic,513,PSECOO004
box 4,1272,Uvic,514,PSECOO005
box 12,17,Uvic,515,ACANIG016
box 5,1243,Uvic,516,PARINS039
box 5,1267,Uvic,517,PARINS040
box 12,20,Uvic,518,ACANIG019
white bag in back,,Uvic,519,S2TURF01
white bag in back,,Uvic,520,S2TURF02
white bag in back,,Uvic,521,S2TURF03
white bag in back,,Uvic,522,S25TURF001
white bag in back,,Uvic,523,S25TURF002
white bag in back,,Uvic,524,S25TURF003
white bag in back,,Uvic,525,S27TURF001
white bag in back,,Uvic,526,S27TURF002
white bag in back,,Uvic,527,S27TURF003
white bag in back,,Uvic,528,S33TURF01
white bag in back,,Uvic,529,S35TURF001
white bag in back,,Uvic,530,S35TURF002
white bag in back,,Uvic,531,S35TURF003
white bag in back,,Uvic,532,S6TURF01
white bag in back,,Uvic,533,S6TURF02
white bag in back,,Uvic,534,S9TURF01
box 11,568,Uvic,535,PARARC090
box 11,569,Uvic,536,PARARC091
box 11,570,Uvic,537,PARARC092
box 11,571,Uvic,538,PARARC093
box 11,572,Uvic,539,PARARC094
box 11,573,Uvic,540,PARARC095
box 11,574,Uvic,541,PARARC096
box 11,575,Uvic,542,PARARC097
box 11,576,Uvic,543,PARARC098
box 11,577,Uvic,544,PARARC099
box 11,578,Uvic,545,PARARC100
box 11,579,Uvic,546,PARARC101
box 11,580,Uvic,547,PARARC102
box 11,581,Uvic,548,PARARC103
box 11,582,Uvic,549,PARARC104
box 11,583,Uvic,550,PARARC105
box 11,584,Uvic,551,PARARC106
box 11,585,Uvic,552,PARARC107
box 11,586,Uvic,553,PARARC108
box 11,587,Uvic,554,PARARC109
box 11,588,Uvic,555,PARARC110
box 11,589,Uvic,556,PARARC111
box 11,590,Uvic,557,PARARC112
box 11,591,Uvic,558,PARARC113
box 11,592,Uvic,559,PARARC114
box 11,593,Uvic,560,PARARC115
box 11,594,Uvic,561,PARARC116
box 11,595,Uvic,562,PARARC117
box 11,596,Uvic,563,PARARC118
box 11,597,Uvic,564,PARARC119
box 11,598,Uvic,565,PARARC120
box 11,599,Uvic,566,PARARC121
box 11,600,Uvic,567,PARARC122
box 11,601,Uvic,568,PARARC123
box 11,602,Uvic,569,PARARC124
box 11,603,Uvic,570,PARARC125
box 11,604,Uvic,571,PARARC126
box 12,605,Uvic,572,PARARC127
box 12,606,Uvic,573,PARARC128
box 12,607,Uvic,574,PARARC129
box 12,608,Uvic,575,PARARC130
box 12,609,Uvic,576,PARARC131
box 12,610,Uvic,577,PARARC132
box 12,611,Uvic,578,PARARC133
box 12,612,Uvic,579,PARARC134
box 12,613,Uvic,580,PARARC135
box 12,614,Uvic,581,PARARC136
box 12,615,Uvic,582,PARARC137
box 12,616,Uvic,583,PARARC138
box 12,617,Uvic,584,PARARC139
box 12,618,Uvic,585,PARARC140
box 12,619,Uvic,586,PARARC141
box 12,620,Uvic,587,PARARC142
box 12,621,Uvic,588,PARARC143
box 12,622,Uvic,589,PARARC144
box 12,623,Uvic,590,PARARC145
box 12,624,Uvic,591,PARARC146
box 12,625,Uvic,592,PARARC147
box 12,626,Uvic,593,PARARC148
box 12,627,Uvic,594,PARARC149
box 12,628,Uvic,595,PARARC150
box 12,629,Uvic,596,PARARC151
box 12,630,Uvic,597,PARARC152
box 12,631,Uvic,598,PARARC153
box 12,632,Uvic,599,PARARC154
box 12,633,Uvic,600,PARARC155
box 12,634,Uvic,601,PARARC156
box 12,635,Uvic,602,PARARC157
box 12,636,Uvic,603,PARARC158
box 12,637,Uvic,604,PARARC159
box 12,638,Uvic,605,PARARC160
no spares,639,Uvic,606,PARARC161
box 12,640,Uvic,607,PARARC162
box 13,640,,608,PARARC162
box 13,641,Uvic,609,PARARC163
box 13,642,Uvic,610,PARARC164
box 13,643,Uvic,611,PARARC165
box 13,644,Uvic,612,PARARC166
box 13,645,Uvic,613,PARARC167
box 13,646,Uvic,614,PARARC168
box 13,647,Uvic,615,PARARC169
box 13,648,Uvic,616,PARARC170
box 13,649,Uvic,617,PARARC171
box 13,650,Uvic,618,PARARC172
box 13,651,Uvic,619,PARARC173
box 13,652,Uvic,620,PARARC174
box 13,653,Uvic,621,PARARC175
box 13,654,Uvic,622,PARARC176
box 13,655,Uvic,623,PARARC177
box 13,656,Uvic,624,PARARC178
box 13,657,Uvic,625,PARARC179
box 13,658,Uvic,626,PARARC180
box 13,659,Uvic,627,PARARC181
box 13,660,Uvic,628,PARARC182
box 13,661,Uvic,629,PARARC183
box 13,677,Uvic,630,PARARC199
box 13,678,Uvic,631,PARARC200
box 13,679,Uvic,632,PARARC201
box 13,680,Uvic,633,PARARC202
box 13,662,Uvic,634,PARARC184
box 13,663,Uvic,635,PARARC185
box 13,664,Uvic,636,PARARC186
box 13,665,Uvic,637,PARARC187
box 13,666,Uvic,638,PARARC188
box 13,667,Uvic,639,PARARC189
box 13,668,Uvic,640,PARARC190
box 13,669,Uvic,641,PARARC191
box 13,670,Uvic,642,PARARC192
box 13,671,Uvic,643,PARARC193
box 13,672,Uvic,644,PARARC194
box 13,673,Uvic,645,PARARC195
box 13,674,Uvic,646,PARARC196
box 13,675,Uvic,647,PARARC197
box 13,676,Uvic,648,PARARC198
box 15,113,Uvic,649,ACANIG111
box 15,114,Uvic,650,ACANIG112
box 15,115,Uvic,651,ACANIG113
box 15,116,Uvic,652,ACANIG114
box 15,117,Uvic,653,ACANIG115
box 15,118,Uvic,654,ACANIG116
box 15,119,Uvic,655,ACANIG117
box 15,120,Uvic,656,ACANIG118
box 15,121,Uvic,657,ACANIG119
box 15,122,Uvic,658,ACANIG120
box 15,123,Uvic,659,ACANIG121
box 15,124,Uvic,660,ACANIG122
box 15,125,Uvic,661,ACANIG123
box 15,126,Uvic,662,ACANIG124
box 15,127,Uvic,663,ACANIG125
box 15,128,Uvic,664,ACANIG126
box 15,129,Uvic,665,ACANIG127
box 15,130,Uvic,666,ACANIG128
box 15,131,Uvic,667,ACANIG129
box 15,132,Uvic,668,ACANIG130
box 15,133,Uvic,669,ACANIG131
box 15,134,Uvic,670,ACANIG132
box 15,135,Uvic,671,ACANIG133
