pk_GuildID,GuildCode,GuildName
1,AP,Apex Predator
2,BI,Benthic Invertivore
3,BIPi,Benthic Invertivore/Piscivore
4,De,Detritivore
5,DeZP,Detritivore/Zooplanktivore
6,He,Herbivore
7,HeZP,Herbivore/Zooplanktivore
8,Om,Omnivore
9,Pi,Piscivore
10,ZP,Zooplanktivore
11,PP,Primary Producer
13,C,Corallivore
