pk_SharkPiece,SharkPiece
1,Pectoral Fin 1
2,Pectoral Fin 2
3,Dorsal Fin
4,Ventral Caudal Fin
5,Dorsal Caudal Fin
6,Lateral Muscle Plug
7,Ventral Muscle Plug
8,Anal Fin
9,Caudal Fin
10,Unidentified Fin Base
11,Dorsal Muscle Plug
