DateStatusUpdated,EnteredBy,fk_LocationID,fk_sampleID,Institution,pk_StatusLocationID,ref_containID,ref_containNum,ref_containType,ref_SampleID,SampleLocationDate
2012-10-01,,1,123,Uvic,62,Scintillation 1 Uvic,1,Scintillation,,123 1 2012-10-01
2012-10-01,,1,124,Uvic,63,Scintillation 1 Uvic,1,Scintillation,,124 1 2012-10-01
2012-10-01,,1,125,Uvic,64,Scintillation 1 Uvic,1,Scintillation,,125 1 2012-10-01
2012-10-01,,1,126,Uvic,65,Scintillation 1 Uvic,1,Scintillation,,126 1 2012-10-01
2012-10-01,,1,127,Uvic,66,Scintillation 1 Uvic,1,Scintillation,,127 1 2012-10-01
2012-10-01,,1,128,Uvic,67,Scintillation 1 Uvic,1,Scintillation,,128 1 2012-10-01
2012-10-01,,1,129,Uvic,68,Scintillation 1 Uvic,1,Scintillation,,129 1 2012-10-01
2012-10-01,,1,130,Uvic,69,Scintillation 1 Uvic,1,Scintillation,,130 1 2012-10-01
2012-10-01,,1,131,Uvic,70,Scintillation 1 Uvic,1,Scintillation,,131 1 2012-10-01
2012-10-01,,1,132,Uvic,71,Scintillation 1 Uvic,1,Scintillation,,132 1 2012-10-01
2012-10-01,,1,133,Uvic,72,Scintillation 1 Uvic,1,Scintillation,,133 1 2012-10-01
2012-10-01,,1,134,Uvic,73,Scintillation 1 Uvic,1,Scintillation,,134 1 2012-10-01
2012-10-01,,1,135,Uvic,74,Scintillation 1 Uvic,1,Scintillation,,135 1 2012-10-01
2012-10-01,,1,136,Uvic,75,Scintillation 1 Uvic,1,Scintillation,,136 1 2012-10-01
2012-10-01,,1,137,Uvic,76,Scintillation 1 Uvic,1,Scintillation,,137 1 2012-10-01
2012-10-01,,1,138,Uvic,77,Scintillation 1 Uvic,1,Scintillation,,138 1 2012-10-01
2012-10-01,,1,139,Uvic,78,Scintillation 1 Uvic,1,Scintillation,,139 1 2012-10-01
2012-10-01,,1,140,Uvic,79,Scintillation 1 Uvic,1,Scintillation,,140 1 2012-10-01
