pk_SampleTypeID,SampleType,TypeCode
1,Fish muscle,Fish
2,Filter-POM,POM
3,MacroAlgae,Macro
4,Turf,TURF
5,Filter-53um,Filter-53
6,Filter-100um,Filter-100
7,Urchin,URCH
8,"Halimeda, large","Halimeda, large"
9,"Halimeda, small","Halimeda, small"
10,Caulerpa,Caulerpa
11,Skin,Skin
12,Basal fin muscle,Basal Fin Muscle
13,Ray,Ray
14,Shark fin mixed,Mixed
15,Shark muscle,Shark Muscle
