CapsuleWeight,DateEntered,DatePacked,EnteredBy,FilledCapsuleWeight,fk_SampleID,fk_TrayName,Notes,PackedBy,pk_PackedID,ref_sampleID,ref_TrayName,SampleWeight,TrayColumn,TrayRow
,2012-10-17,2011-04-10,AS,,903,9,NA,AS,95,ACANIG156_A,9,1,5,F
,2012-10-17,2011-04-10,AS,,904,9,"Pastey sample - slightly moist, less fine than normal samples",AS,96,ACANIG157_A,9,1.1,6,F
,2012-10-17,2011-04-10,AS,,905,9,"Pastey sample - slightly moist, less fine than normal samples",AS,97,ACANIG158_A,9,1.1,7,F
,2012-10-17,2011-04-10,AS,,906,9,NA,AS,98,ACANIG159_A,9,1,8,F
,2012-10-17,2011-04-10,AS,,907,9,NA,AS,99,ACANIG160_A,9,1.1,9,F
,2012-10-17,2011-04-10,AS,,908,9,NA,AS,100,ACANIG161_A,9,0.9,10,F
,2012-10-17,2011-04-10,AS,,909,9,NA,AS,101,ACANIG162_A,9,1.1,11,F
,2012-10-17,2011-04-10,AS,,910,9,NA,AS,102,ACANIG163_A,9,1,12,F
,2012-10-17,2012-07-26,AS,,911,24,"Pastey sample - slightly moist, less fine than normal samples; original date packed 04/10/2011 in Tray 9 G1",AS,103,ACANIG164_A,V6,1.1,12,D
,2012-10-17,2011-04-10,AS,,912,9,NA,AS,104,ACANIG165_A,9,1,2,G
,2012-10-17,2011-04-11,AS,,913,9,NA,AS,105,ACANIG166_A,9,0.9,3,G
,2012-10-17,2011-04-11,AS,,914,9,NA,AS,106,ACANIG167_A,9,1,4,G
,2012-10-17,2011-11-17,AS,,915,17,NA; original date packed: 04/11/2011 in Tray 9 G5,AS,107,ACANIG168_A,RT_KI_DAVIS_01,1,9,G
,2012-10-17,2011-04-11,AS,,916,9,NA,AS,108,ACANIG169_A,9,1,6,G
,2012-10-17,2011-04-11,AS,,917,9,"Pastey sample - slightly moist, less fine than normal samples",AS,109,ACANIG170_A,9,0.9,7,G
,2012-10-17,2011-04-11,AS,,918,9,NA,AS,110,ACANIG171_A,9,1.1,8,G
,2012-10-17,2011-04-11,AS,,919,9,NA,AS,111,ACANIG172_A,9,1,9,G
,2012-10-17,2011-04-11,AS,,920,9,NA,AS,112,ACANIG173_A,9,0.9,10,G
,2012-10-17,2011-04-11,AS,,921,9,NA,AS,113,ACANIG174_A,9,1,11,G
,2012-10-17,2011-04-11,AS,,922,9,NA,AS,114,ACANIG175_A,9,1,12,G
,2012-10-17,2012-07-26,AS,,923,24,NA; original date packed: 04/11/2011 in Tray 9 H1,AS,115,ACANIG176_A,V6,0.9,2,E
,2012-10-17,2011-04-11,AS,,924,9,NA,AS,116,ACANIG177_A,9,0.9,2,H
,2012-10-17,2011-04-11,AS,,925,9,NA,AS,117,ACANIG178_A,9,1,3,H
,2012-10-17,2011-04-11,AS,,926,9,NA,AS,118,ACANIG179_A,9,0.9,4,H
,2012-10-17,2011-04-11,AS,,927,9,NA,AS,119,ACANIG180_A,9,1.1,5,H
,2012-10-17,2011-04-11,AS,,928,9,NA,AS,120,ACANIG181_A,9,1.1,6,H
,2012-10-17,2011-04-11,AS,,929,9,NA,AS,121,ACANIG182_A,9,1.1,7,H
,2012-10-17,2011-04-11,AS,,930,9,NA,AS,122,ACANIG183_A,9,1.1,8,H
,2012-10-17,2011-11-17,AS,,931,17,NA; original date packed: 04/11/2011 in Tray 9 H9,AS,123,ACANIG184_A,RT_KI_DAVIS_01,1.1,11,B
,2012-10-17,2011-11-17,AS,,932,17,NA; original date packed: 04/11/2011 in Tray 9 H10,AS,124,ACANIG185_A,RT_KI_DAVIS_01,1,12,B
,2012-10-17,2012-04-15,,,946,12,,AO,125,ACANIG185_NA,RT_KI_04,1.1,7,A
,2012-10-17,2011-04-11,AS,,933,9,NA,AS,126,ACANIG186_A,9,1,11,H
,2012-10-17,2011-02-15,AO,,503,5,NA,AS,127,CA.AMBL001_A,5,1.1,3,H
,2012-10-17,2011-02-15,AS,,503,14,Taken from other trays. Double Blind,AS,128,CA.AMBL001_A,RTKI_001,1.1,1,F
,2012-10-17,2011-11-17,,,503,17,,,129,CA.AMBL001_A,RT_KI_DAVIS_01,0.9,10,F
,2012-10-17,2011-03-08,AO,,,14,NA,AO,130,CA.AMBL001_NA,RTKI_001,1,2,F
,2012-10-17,2011-11-17,AO,,44,17,NA; original date packed: 11/02/2010 in Tray 1 A1,RT,131,CEPARG001_A,RT_KI_DAVIS_01,0.9,11,A
,2012-10-17,2012-07-26,AS,,303,24,NA; original date packed: 02/02/2011 in Tray 6 G1,AS,132,CEPARG001_RT_A,V6,1.1,10,C
,2012-10-17,2011-11-17,AO,,45,17,NA; original date packed: 11/02/2010 in Tray 1 A2,RT,133,CEPARG002_A,RT_KI_DAVIS_01,1,11,G
,2012-10-17,2012-04-15,,,947,12,,AO,134,CEPARG002_NA,RT_KI_04,1.2,6,B
,2012-10-17,2011-02-02,AS,,304,6,NA,AS,135,CEPARG002_RT_A,6,0.9,2,G
,2012-10-17,2011-11-17,AO,,46,17,NA; original date packed: 11/02/2011 in Tray 1 A3,AO,136,CEPARG003_A,RT_KI_DAVIS_01,1,12,A
,2012-10-17,2011-02-02,AS,,305,6,NA,AS,137,CEPARG003_RT_A,6,1.1,3,G
,2012-10-17,2011-11-17,AO,,47,17,NA; original date packed: 11/02/2010 in Tray 1 A4,AO,138,CEPARG004_A,RT_KI_DAVIS_01,1.1,1,B
,2012-10-17,2011-11-17,AO,,48,17,NA; original date packed: 11/02/2010 in Tray 1 A5,AO,139,CEPARG005_A,RT_KI_DAVIS_01,1.1,2,B
,2012-10-17,2011-11-17,AO,,49,17,NA; original date packed: 11/02/2010 in Tray 1 A6 ,AO,140,CEPARG006_A,RT_KI_DAVIS_01,0.9,3,B
,2012-10-17,2010-11-02,AO,,50,1,NA,AO,141,CEPARG007_A,1,0.9,7,A
,2012-10-17,2010-11-02,AO,,51,1,NA,AO,142,CEPARG008_A,1,1.1,8,A
,2012-10-17,2010-11-02,AO,,52,1,NA,AO,143,CEPARG009_A,1,1,9,A
,2012-10-17,2010-11-02,AO,,53,1,NA,AO,144,CEPARG010_A,1,1,10,A
,2012-10-17,2010-11-02,AO,,54,1,NA,AO,145,CEPARG011_A,1,1.1,11,A
,2012-10-17,2011-11-17,AO,,55,17,NA; original date packed: 11/02/2010 in Tray 1 A12,AO,146,CEPARG012_A,RT_KI_DAVIS_01,1,12,G
,2012-10-17,2012-07-26,AO,,56,24,NA; original date packed: 11/02/2010 in Tray 1 B1,AO,147,CEPARG013_A,V6,1,2,A
,2012-10-17,2010-11-02,AO,,57,1,NA,AO,148,CEPARG014_A,1,1,2,B
,2012-10-17,2010-11-02,AO,,58,1,NA,AO,149,CEPARG015_A,1,1.1,3,B
,2012-10-17,2011-11-17,AO,,59,17,NA; original date packed: 11/02/2010 in Tray 1 B4,AO,150,CEPARG016_A,RT_KI_DAVIS_01,1.1,1,H
,2012-10-17,2011-11-17,AO,,60,17,NA; original date packed: 11/02/2010 in Tray 1 B5,AO,151,CEPARG017_A,RT_KI_DAVIS_01,0.9,8,H
,2012-10-17,2010-11-02,AO,,61,1,NA,AO,152,CEPARG018_A,1,1,6,B
,2012-10-17,2011-11-17,AO,,62,17,NA; original date packed: 11/04/2010 in Tray 1 B7,AO,153,CEPARG019_A,RT_KI_DAVIS_01,1,3,H
,2012-10-17,2010-11-04,AO,,63,1,NA,AO,154,CEPARG020_A,1,1,8,B
,2012-10-17,2011-11-17,AO,,64,17,NA; original date packed: 11/04/2010 in Tray 1 B9,AO,155,CEPARG021_A,RT_KI_DAVIS_01,0.9,9,H
,2012-10-17,2011-11-17,AO,,65,17,NA; original date packed: 11/04/2010 in Tray 1 B10,AO,156,CEPARG022_A,RT_KI_DAVIS_01,0.9,10,H
,2012-10-17,2011-11-17,AO,,66,17,NA; original date packed: 11/04/2010 in Tray 1 B11,AO,157,CEPARG023_A,RT_KI_DAVIS_01,1,11,H
,2012-10-17,2010-11-04,AO,,67,1,NA,AO,158,CEPARG024_A,1,1,12,B
,2012-10-17,2012-07-26,AO,,68,24,NA; original date packed: 11/04/2010 in Tray 1 C1,AO,159,CEPARG025_A,V6,1.1,3,A
,2012-10-17,2010-11-04,AO,,69,1,NA,AO,160,CEPARG026_A,1,1.1,2,C
,2012-10-17,2010-11-04,AO,,70,1,NA,AO,161,CEPARG027_A,1,1,3,C
,2012-10-17,2010-11-04,AO,,71,1,NA,AO,162,CEPARG028_A,1,1.1,4,C
,2012-10-17,2011-11-17,AO,,72,17,NA; original date packed: 11/04/2010 in Tray 1 C5,AO,163,CEPARG029_A,RT_KI_DAVIS_01,1.1,2,H
,2012-10-17,2010-11-04,AO,,73,1,NA,AO,164,CEPARG030_A,1,1,6,C
,2012-10-17,2010-11-04,AS,,74,14,Taken from other trays; original date packed: 11/04/2010 in Tray 1 C7,AO,165,CEPARG031_A,RTKI_001,1.1,7,C
,2012-10-17,2011-03-04,AO,,770,14,NA,AO,166,CEPARG031_NA,RTKI_001,1.1,8,A
,2012-10-17,2010-11-04,AO,,75,1,NA,AO,167,CEPARG032_A,1,1,8,C
,2012-10-17,2010-11-04,AO,,76,1,NA,AO,168,CEPARG033_A,1,1.1,9,C
,2012-10-17,2010-11-04,AO,,77,1,NA,AO,169,CEPARG034_A,1,1,10,C
,2012-10-17,2010-11-04,AS,,78,14,Taken from other trays; original date packed: 11/04/2010 in Tray 1 C11,AO,170,CEPARG035_A,RTKI_001,1,8,C
,2012-10-17,2011-03-04,AO,,771,14,NA,AO,171,CEPARG035_NA,RTKI_001,1,9,A
,2012-10-17,2010-11-04,AO,,97,1,NA,AO,172,CEPARG036_A,1,1.1,12,C
,2012-10-17,2012-07-26,AO,,98,24,NA; original date packed: 11/04/2010 in Tray 1 D1,AO,173,CEPARG037_A,V6,1,4,A
,2012-10-17,2011-11-17,AO,,99,17,NA; original date packed: 11/17/2011 in Tray 1 D2,AO,174,CEPARG038_A,RT_KI_DAVIS_01,1,12,H
,2012-10-17,2012-04-15,,,949,12,,AO,175,CEPARG038_NA,RT_KI_04,1.1,5,B
,2012-10-17,2010-11-04,AS,,100,14,Taken from other trays; original date packed: 11/04/2010 in Tray 1 D3,AO,176,CEPARG039_A,RTKI_001,1,9,C
,2012-10-17,2011-03-04,AO,,772,14,NA,AO,177,CEPARG039_NA,RTKI_001,1,10,A
,2012-10-17,2010-11-04,AO,,101,1,NA,AO,178,CEPARG040_A,1,1,4,D
,2012-10-17,2010-11-04,AO,,102,1,NA,AO,179,CEPARG041_A,1,1.1,5,D
,2012-10-17,2010-11-04,AO,,103,1,NA,AO,180,CEPARG042_A,1,1.1,6,D
,2012-10-17,2010-11-04,AO,,104,1,NA,AO,181,CEPARG043_A,1,1,7,D
,2012-10-17,2010-11-04,AO,,105,1,NA,AO,182,CEPARG044_A,1,1.1,8,D
,2012-10-17,2010-11-04,AO,,106,1,NA,AO,183,CEPARG045_A,1,1.1,9,D
,2012-10-17,2010-11-04,AO,,107,1,NA,AO,184,CEPARG046_A,1,0.9,10,D
,2012-10-17,2010-11-04,AO,,108,1,NA,AO,185,CEPARG047_A,1,0.9,11,D
,2012-10-17,2010-11-04,AO,,109,1,NA,AO,186,CEPARG048_A,1,1.1,12,D
,2012-10-17,2012-07-26,AO,,110,24,NA; original date packed: 11/04/2010 in Tray 1 E1,AO,187,CEPARG049_A,V6,1.1,5,A
,2012-10-17,2010-11-04,AO,,111,1,NA,AO,188,CEPARG050_A,1,1,2,E
,2012-10-17,2010-11-04,AO,,112,1,NA,AO,189,CEPARG051_A,1,1,3,E
,2012-10-17,2010-11-04,AO,,113,1,NA,AO,190,CEPARG052_A,1,1.1,4,E
,2012-10-17,2010-11-04,AO,,114,1,NA,AO,191,CEPARG053_A,1,1.1,5,E
,2012-10-17,2010-11-04,AO,,115,1,NA,AO,192,CEPARG054_A,1,1,6,E
,2012-10-17,2010-11-05,AO,,116,1,NA,AO,193,CEPARG055_A,1,1,7,E
,2012-10-17,2010-11-05,AO,,117,1,NA,AO,194,CEPARG056_A,1,0.9,8,E
,2012-10-17,2010-11-05,AO,,118,1,NA,AO,195,CEPARG057_A,1,0.9,9,E
,2012-10-17,2010-11-05,AO,,119,1,NA,AO,196,CEPARG058_A,1,1.1,10,E
,2012-10-17,2010-11-05,AO,,120,1,NA,AO,197,CEPARG059_A,1,1.1,11,E
,2012-10-17,2010-11-05,AO,,121,1,NA,AO,198,CEPARG060_A,1,0.9,12,E
,2012-10-17,2012-07-26,AO,,122,24,NA; original date packed: 11/05/2010 in Tray 1 F1,AO,199,CEPARG061_A,V6,1.1,6,A
,2012-10-17,2010-11-05,AO,,123,1,NA,AO,200,CEPARG062_A,1,1,2,F
,2012-10-17,2010-11-05,AO,,124,1,NA,AO,201,CEPARG063_A,1,1,3,F
,2012-10-17,2010-11-05,AO,,125,1,NA,AO,202,CEPARG064_A,1,1.1,4,F
,2012-10-17,2010-11-05,AO,,126,1,NA,AO,203,CEPARG065_A,1,1,5,F
,2012-10-17,2010-11-05,AO,,127,1,NA,AO,204,CEPARG066_A,1,1.1,6,F
,2012-10-17,2010-11-05,AO,,128,1,NA,AO,205,CEPARG067_A,1,1,7,F
,2012-10-17,2010-11-05,AO,,129,1,NA,AO,206,CEPARG068_A,1,1.1,8,F
,2012-10-17,2010-11-05,AO,,130,1,NA,AO,207,CEPARG069_A,1,1,9,F
,2012-10-17,2010-11-09,AO,,131,1,NA,AO,208,CEPARG070_A,1,0.9,10,F
,2012-10-17,2010-11-09,AO,,132,1,NA,AO,209,CEPARG071_A,1,1,11,F
,2012-10-17,2010-11-09,AO,,133,1,NA,AO,210,CEPARG072_A,1,1,12,F
,2012-10-17,2012-07-26,AO,,134,24,NA; original date packed: 11/09/2010 in Tray 1 G1,AO,211,CEPARG073_A,V6,0.9,7,A
,2012-10-17,2010-11-09,AO,,135,1,NA,AO,212,CEPARG074_A,1,1.1,2,G
,2012-10-17,2010-11-09,AO,,136,1,NA,AO,213,CEPARG075_A,1,1,3,G
,2012-10-17,2011-11-17,AO,,137,17,NA; original date packed: 11/17/2011 in Tray 1 G4,AO,214,CEPARG076_A,RT_KI_DAVIS_01,1.1,4,H
,2012-10-17,2010-11-09,AO,,138,1,NA,AO,215,CEPARG077_A,1,1,5,G
,2012-10-17,2010-11-09,AS,,139,14,Taken from other trays; original date packed: 11/09/2010 in Tray 1 G6,AO,216,CEPARG078_A,RTKI_001,0.9,10,C
,2012-10-17,2011-03-04,AO,,773,14,NA,AO,217,CEPARG078_NA,RTKI_001,0.8,11,A
,2012-10-17,2011-11-17,AO,,140,17,NA; original date packed: 11/09/2010 in Tray 1 G7,AO,218,CEPARG079_A,RT_KI_DAVIS_01,1.1,6,H
,2012-10-17,2011-11-17,AO,,141,17,NA; original date packed: 11/09/2010 in Tray 1 G8,AO,219,CEPARG080_A,RT_KI_DAVIS_01,1,7,H
,2012-10-17,2011-11-17,AO,,142,17,NA; original date packed: 11/09/2010 in Tray 1 G9,AO,220,CEPARG081_A,RT_KI_DAVIS_01,1,5,H
,2012-10-17,2010-11-09,AO,,143,1,NA,AO,221,CEPARG082_A,1,1.1,10,G
,2012-10-17,2010-11-09,AO,,144,1,NA,AO,222,CEPARG083_A,1,1,11,G
,2012-10-17,2010-11-09,AO,,145,1,NA,AO,223,CEPARG084_A,1,1.1,12,G
,2012-10-17,2012-07-26,AO,,146,24,NA; original date packed: 11/09/2010 in Tray 1 H1,AO,224,CEPARG085_A,V6,0.9,8,A
,2012-10-17,2010-11-09,AO,,147,1,NA,AO,225,CEPARG086_A,1,1,2,H
,2012-10-17,2010-11-09,AO,,148,1,NA,AO,226,CEPARG087_A,1,1.1,3,H
,2012-10-17,2010-11-09,AO,,149,1,NA,AO,227,CEPARG088_A,1,0.9,4,H
,2012-10-17,2010-11-09,AO,,150,1,NA,AO,228,CEPARG089_A,1,1,5,H
,2012-10-17,2010-11-09,AO,,151,1,NA,AO,229,CEPARG090_A,1,0.9,6,H
,2012-10-17,2010-11-09,AO,,152,1,NA,AO,230,CEPARG091_A,1,1.1,7,H
