d13C,d15N,DateProcessed,fk_PackedID,fk_SampleID,fk_TrayID,Lab,pk_ResultID,ref_sampleID,ref_Tray,Weight_mg
-16.78,13.51,,851,,,UC Davis,197,PARARC096_A,RT_KI_DAVIS_01,0.9
-16.52,13.15,,852,,,UC Davis,198,PARARC097_A,RT_KI_DAVIS_01,0.9
-16.34,13.07,,1633,,,UC Davis,199,PARARC137_A,RT_KI_DAVIS_01,1.1
-16.52,13.93,,864,,,UC Davis,200,PARARC107_A,RT_KI_DAVIS_01,1
-16.54,13.65,,865,,,UC Davis,201,PARARC108_A,RT_KI_DAVIS_01,0.9
-16.29,14.04,,866,,,UC Davis,202,PARARC109_A,RT_KI_DAVIS_01,1
-15.99,13.14,,867,,,UC Davis,203,PARARC110_A,RT_KI_DAVIS_01,0.9
-16.09,13.19,,890,,,UC Davis,204,PARARC132_A,RT_KI_DAVIS_01,1
-16.79,13.56,,891,,,UC Davis,205,PARARC133_A,RT_KI_DAVIS_01,1.1
-16.21,13.36,,893,,,UC Davis,206,PARARC134_A,RT_KI_DAVIS_01,0.9
-17.76,10.39,,1083,,,UC Davis,207,PSEOLI013_A,RT_KI_DAVIS_01,1
-17.64,10.4,,1084,,,UC Davis,208,PSEOLI014_A,RT_KI_DAVIS_01,1.1
-17.74,10.03,,1085,,,UC Davis,209,PSEOLI015_A,RT_KI_DAVIS_01,1
-17.62,10.54,,1086,,,UC Davis,210,PSEOLI017_A,RT_KI_DAVIS_01,1.1
-17.6,10.26,,1087,,,UC Davis,211,PSEOLI018_A,RT_KI_DAVIS_01,1.1
-17.71,10.31,,1094,,,UC Davis,212,PSEOLI025_A,RT_KI_DAVIS_01,1
-18.16,9.38,,1092,,,UC Davis,213,PSEOLI023_A,RT_KI_DAVIS_01,1
-17.84,9.69,,1093,,,UC Davis,214,PSEOLI024_A,RT_KI_DAVIS_01,1
-16.2,13.02,,602,,,UC Davis,215,LUTBOH001_2A,RT_KI_DAVIS_01,1
-16.12,13.98,,613,,,UC Davis,216,LUTBOH011_A,RT_KI_DAVIS_01,0.9
-16.01,13.31,,1634,,,UC Davis,217,LUTBOH012_A,RT_KI_DAVIS_01,1.1
-16.17,13.34,,616,,,UC Davis,218,LUTBOH013_A,RT_KI_DAVIS_01,0.9
-15.88,13.2,,1635,,,UC Davis,219,LUTBOH014_A,RT_KI_DAVIS_01,1
-15.64,13.94,,619,,,UC Davis,220,LUTBOH015_A,RT_KI_DAVIS_01,0.9
-15.94,13.5,,621,,,UC Davis,221,LUTBOH016_A,RT_KI_DAVIS_01,1.1
-16.29,13.81,,623,,,UC Davis,222,LUTBOH018_A,RT_KI_DAVIS_01,1
-16.3,13.99,,625,,,UC Davis,223,LUTBOH020_A,RT_KI_DAVIS_01,0.9
-13.27,14.33,,129,,,UC Davis,224,CA.AMBL001_A,RT_KI_DAVIS_01,0.9
-17.87,13.12,,4,,,UC Davis,225,ACANIG002_A,RT_KI_DAVIS_01,0.9
-17.32,12.24,,83,,,UC Davis,226,ACANIG146_A,RT_KI_DAVIS_01,1
-17.72,12.22,,86,,,UC Davis,227,ACANIG148_A,RT_KI_DAVIS_01,0.9
-17.67,12.53,,88,,,UC Davis,228,ACANIG149_A,RT_KI_DAVIS_01,0.9
-17.08,12.43,,3,,,UC Davis,229,ACANIG001_A,RT_KI_DAVIS_01,1
-17.48,12.51,,5,,,UC Davis,230,ACANIG003_A,RT_KI_DAVIS_01,1
-18.19,12.35,,6,,,UC Davis,231,ACANIG004_A,RT_KI_DAVIS_01,1.1
-18.18,12.35,,85,,,UC Davis,232,ACANIG147_A,RT_KI_DAVIS_01,1.1
-20.4,12.66,,49,,,UC Davis,233,ACANIG115_A,RT_KI_DAVIS_01,1
-18.38,13.54,,78,,,UC Davis,234,ACANIG141_A,RT_KI_DAVIS_01,0.9
-20.13,12.84,,107,,,UC Davis,235,ACANIG168_A,RT_KI_DAVIS_01,1
-18.54,12.8,,26,,,UC Davis,236,ACANIG015_A,RT_KI_DAVIS_01,1.1
-14.99,15,,133,,,UC Davis,237,CEPARG002_A,RT_KI_DAVIS_01,1
-15.21,14.58,,146,,,UC Davis,238,CEPARG012_A,RT_KI_DAVIS_01,1
-15.51,14.13,,150,,,UC Davis,239,CEPARG016_A,RT_KI_DAVIS_01,1.1
-14.59,15.15,,163,,,UC Davis,240,CEPARG029_A,RT_KI_DAVIS_01,1.1
-15.2,14.34,,153,,,UC Davis,241,CEPARG019_A,RT_KI_DAVIS_01,1
-15.52,13.7,,214,,,UC Davis,242,CEPARG076_A,RT_KI_DAVIS_01,1.1
-15.99,13.51,,220,,,UC Davis,243,CEPARG081_A,RT_KI_DAVIS_01,1
-15.74,13.66,,218,,,UC Davis,244,CEPARG079_A,RT_KI_DAVIS_01,1.1
-15.53,13.63,,219,,,UC Davis,245,CEPARG080_A,RT_KI_DAVIS_01,1
-15.59,14.34,,151,,,UC Davis,246,CEPARG017_A,RT_KI_DAVIS_01,0.9
-14.9,15.28,,155,,,UC Davis,247,CEPARG021_A,RT_KI_DAVIS_01,0.9
-15.75,14.19,,156,,,UC Davis,248,CEPARG022_A,RT_KI_DAVIS_01,0.9
-15.73,14.26,,157,,,UC Davis,249,CEPARG023_A,RT_KI_DAVIS_01,1
-15.97,14.09,,174,,,UC Davis,250,CEPARG038_A,RT_KI_DAVIS_01,1
1.964,8422,,1067,,,Long Beach,251,PSEOLI001_NA,RTKI_001,0.9
3.092,7.642,,1079,,,Long Beach,252,PSEOLI011_NA,RTKI_001,1.1
3.645,7.84,,1081,,,Long Beach,253,PSEOLI012_NA,RTKI_001,1
1.759,9.153,,1089,,,Long Beach,254,PSEOLI020_NA,RTKI_001,0.9
2.403,9.727,,1091,,,Long Beach,255,PSEOLI021_NA,RTKI_001,0.9
8.862,11.753,,1099,,,Long Beach,256,PSEOLI030_NA,RTKI_001,0.9
6.822,11.55,,1042,,,Long Beach,257,PSEDIS006_NA,RTKI_001,0.9
3.133,11.834,,166,,,Long Beach,258,CEPARG031_NA,RTKI_001,1.1
4.035,12.588,,171,,,Long Beach,259,CEPARG035_NA,RTKI_001,1
5.367,11.056,,177,,,Long Beach,260,CEPARG039_NA,RTKI_001,1
6.544,12.038,,217,,,Long Beach,261,CEPARG078_NA,RTKI_001,0.8
8.105,12.047,,260,,,Long Beach,262,CEPARG120_NA,RTKI_001,0.9
8.742,11.503,,263,,,Long Beach,263,CEPARG121_NA,RTKI_001,1
0.744,9.234,,290,,,Long Beach,264,CEPARG146_NA,RTKI_001,1
-4.379,10.918,,304,,,Long Beach,265,CEPARG159_NA,RTKI_001,1.2
-8.823,10.648,,10,,,Long Beach,266,ACANIG006_NA,RTKI_001,0.9
0.39,9.685,,12,,,Long Beach,267,ACANIG007_NA,RTKI_001,0.9
-0.906,11.098,,14,,,Long Beach,268,ACANIG008_NA,RTKI_001,0.8
4.005,9.948,,17,,,Long Beach,269,ACANIG009_NA,RTKI_001,0.9
0.88,11.234,,20,,,Long Beach,270,ACANIG011_NA,RTKI_001,0.9
-4.029,9.658,,23,,,Long Beach,271,ACANIG013_NA,RTKI_001,1.2
-11.065,9.52,,29,,,Long Beach,272,ACANIG016_NA,RTKI_001,1.1
-4.376,8.195,,33,,,Long Beach,273,ACANIG019_NA,RTKI_001,0.9
-6.031,8.769,,1066,,,Long Beach,274,PSEOLI001_A,RTKI_001,1.1
-7.335,7.715,,1078,,,Long Beach,275,PSEOLI011_A,RTKI_001,0.9
-19.1,7.803,,1080,,,Long Beach,276,PSEOLI012_A,RTKI_001,1.1
-16.11,8.066,,1088,,,Long Beach,277,PSEOLI020_A,RTKI_001,0.9
-13.16,8.578,,1090,,,Long Beach,278,PSEOLI021_A,RTKI_001,0.3
-19.708,-6.45,,1098,,,Long Beach,279,PSEOLI030_A,RTKI_001,1.1
-25.994,-6.592,,1041,,,Long Beach,280,PSEDIS006_A,RTKI_001,0.9
,,,165,,,Long Beach,281,CEPARG031_A,RTKI_001,1.1
55.76,44.859,,170,,,Long Beach,282,CEPARG035_A,RTKI_001,1
3.605,12.62,,176,,,Long Beach,283,CEPARG039_A,RTKI_001,1
6.148,11.964,,216,,,Long Beach,284,CEPARG078_A,RTKI_001,0.9
6.057,12.209,,259,,,Long Beach,285,CEPARG120_A,RTKI_001,1
5.851,13.207,,1636,,,Long Beach,286,CEPARG121_A,RTKI_001,1.1
6.138,11.789,,1637,,,Long Beach,287,CEPARG146_A,RTKI_001,0.9
-17.39056238,13.29093573,2012-08-01,7,,,UVIC,288,ACANIG005_A,,1.1
-16.82376152,12.48347012,2012-07-31,315,,,UVIC,289,CEPURO001_A,,1
-16.74265366,13.03989991,2012-07-31,316,,,UVIC,290,CEPURO002_A,,1
-16.48978795,12.99839005,2012-07-31,323,,,UVIC,291,CEPURO007_A,,1.1
-16.75219576,12.63171962,2012-07-31,329,,,UVIC,292,CEPURO010_A,,1.2
-16.77032575,12.98850675,2012-07-31,330,,,UVIC,293,CEPURO011_A,,0.9
-16.64532422,12.99048341,2012-07-31,331,,,UVIC,294,CEPURO012_A,,1
-17.11956669,13.1911144,2012-07-31,332,,,UVIC,295,CEPURO013_A,,1
-16.52413952,13.13477959,2012-07-31,333,,,UVIC,296,CEPURO014_A,,1
-16.79418101,13.05768985,2012-07-31,334,,,UVIC,297,CEPURO015_A,,1
-17.11574985,13.04681822,2012-07-31,335,,,UVIC,298,CEPURO016_A,,1.1
-16.97929779,13.03199327,2012-07-31,336,,,UVIC,299,CEPURO017_A,,1.1
-16.58616318,12.92327697,2012-07-31,337,,,UVIC,300,CEPURO018_A,,1.1
-16.30944222,13.37099046,2012-07-31,338,,,UVIC,301,CEPURO019_A,,1
-16.63578211,12.96478683,2012-07-31,339,,,UVIC,302,CEPURO020_A,,0.9
-16.98406884,13.16541782,2012-07-31,340,,,UVIC,303,CEPURO021_A,,0.9
-16.82566994,13.20692768,2012-07-31,341,,,UVIC,304,CEPURO022_A,,0.8
-16.59952213,13.0725148,2012-07-31,342,,,UVIC,305,CEPURO023_A,,1.1
-16.50887216,12.77799246,2012-07-31,343,,,UVIC,306,CEPURO024_A,,0.9
-16.58711739,13.16245283,2012-07-31,344,,,UVIC,307,CEPURO025_A,,1
